CODIGO_WMO,total_horas,maior_bloco_horas,maior_bloco_pct_do_total,posicao_inicio_bloco_pct,posicao_fim_bloco_pct,recomendacao
A769,45576,12033,26.402053712480253,56.72722485518694,83.12708443040196,meio (precisa segmentar em 2 sub-períodos)
A543,131496,25009,19.01882947009795,76.98409077082192,96.00215976151365,fim (aparar fim da série)
A764,45408,8238,18.142177589852007,67.37579281183932,85.5157681465821,meio (precisa segmentar em 2 sub-períodos)
A561,64656,8522,13.180524622618163,73.27084879980202,86.4498267755506,meio (precisa segmentar em 2 sub-períodos)
A729,122736,14675,11.956557163342458,37.490222917481425,49.445965323947334,meio (precisa segmentar em 2 sub-períodos)
A739,131496,15451,11.750167305469368,82.49528502768145,94.2446918537446,meio (precisa segmentar em 2 sub-períodos)
A738,131496,13323,10.131867129038145,83.20633327249499,93.3374399221269,meio (precisa segmentar em 2 sub-períodos)
A546,131496,10964,8.337896209770639,88.44831781955345,96.78545354991788,fim (aparar fim da série)
A755,103104,8339,8.087950031036623,83.01326815642459,91.10024829298573,meio (precisa segmentar em 2 sub-períodos)
A741,128760,10255,7.964429947188568,77.86113699906804,85.82479030754892,meio (precisa segmentar em 2 sub-períodos)
A725,131496,8787,6.682332542434751,79.43511589706151,86.11668796009005,meio (precisa segmentar em 2 sub-períodos)
A753,126744,7912,6.2425045761535065,87.8826611121631,94.12437669633276,meio (precisa segmentar em 2 sub-períodos)
A737,131496,7338,5.580397882825333,87.75780251870779,93.3374399221269,meio (precisa segmentar em 2 sub-períodos)
A610,131496,7326,5.571272129950721,81.10512867311553,86.67564032366003,meio (precisa segmentar em 2 sub-períodos)
A740,131496,7166,5.449595424955892,88.71980896757316,94.16864391312284,meio (precisa segmentar em 2 sub-períodos)
